ietf_node,tapi_node,similarity
/networks/network/node/te/tunnel-termination-point/local-link-connectivities/local-link-connectivity/optimizations/algorithm/optimization-metric/explicit-route-include-objects/route-object-include-object/type/label-hop/te-label/direction,/context/notification-context/event-notification/connection-end-point/direction,0.5135240422776821
/networks/network/node/te/information-source-entry/connectivity-matrices/underlay/primary-path/path-element/type/label-hop/te-label/direction,/context/notification-context/event-notification/connection-end-point/direction,0.5135240422776821
/networks/network/node/te/information-source-entry/connectivity-matrices/underlay/backup-path/path-element/type/label-hop/te-label/direction,/context/notification-context/event-notification/connection-end-point/direction,0.5135240422776821
/networks/network/node/te/te-node-attributes/connectivity-matrices/connectivity-matrix/path-properties/path-route-objects/path-route-object/type/label-hop/te-label/direction,/context/notification-context/event-notification/connection-end-point/direction,0.5135240422776821
/networks/network/node/te/tunnel-termination-point/local-link-connectivities/local-link-connectivity/optimizations/algorithm/optimization-metric/explicit-route-exclude-objects/route-object-exclude-object/type/label-hop/te-label/direction,/context/notification-context/event-notification/connection-end-point/direction,0.5135240422776821
/networks/network/link/te/te-link-attributes/underlay/primary-path/path-element/type/label-hop/te-label/direction,/context/notification-context/event-notification/connection-end-point/direction,0.5135240422776821
/networks/network/node/te/te-node-attributes/connectivity-matrices/connectivity-matrix/optimizations/algorithm/optimization-metric/explicit-route-include-objects/route-object-include-object/type/label-hop/te-label/direction,/context/notification-context/event-notification/connection-end-point/direction,0.5135240422776821
/networks/network/link/te/te-link-attributes/underlay/backup-path/path-element/type/label-hop/te-label/direction,/context/notification-context/event-notification/connection-end-point/direction,0.5135240422776821
/networks/network/node/te/information-source-entry/connectivity-matrices/path-properties/path-route-objects/path-route-object/type/label-hop/te-label/direction,/context/notification-context/event-notification/connection-end-point/direction,0.5135240422776821
/networks/network/node/te/te-node-attributes/connectivity-matrices/connectivity-matrix/optimizations/algorithm/optimization-metric/explicit-route-exclude-objects/route-object-exclude-object/type/label-hop/te-label/direction,/context/notification-context/event-notification/connection-end-point/direction,0.5135240422776821
/networks/network/node/te/information-source-entry/connectivity-matrices/optimizations/algorithm/optimization-metric/explicit-route-include-objects/route-object-include-object/type/label-hop/te-label/direction,/context/notification-context/event-notification/connection-end-point/direction,0.5135240422776821
/networks/network/link/te/te-link-attributes/label-restrictions/label-restriction/label-start/te-label/direction,/context/notification-context/event-notification/connection-end-point/direction,0.5135240422776821
/networks/network/link/te/te-link-attributes/label-restrictions/label-restriction/label-end/te-label/direction,/context/notification-context/event-notification/connection-end-point/direction,0.5135240422776821
/networks/network/node/te/tunnel-termination-point/local-link-connectivities/local-link-connectivity/underlay/backup-path/path-element/type/label-hop/te-label/direction,/context/notification-context/event-notification/connection-end-point/direction,0.5135240422776821
/networks/network/node/te/tunnel-termination-point/local-link-connectivities/optimizations/algorithm/optimization-metric/explicit-route-include-objects/route-object-include-object/type/label-hop/te-label/direction,/context/notification-context/event-notification/connection-end-point/direction,0.5135240422776821
/networks/network/node/te/te-node-attributes/connectivity-matrices/connectivity-matrix/underlay/backup-path/path-element/type/label-hop/te-label/direction,/context/notification-context/event-notification/connection-end-point/direction,0.5135240422776821
/networks/network/node/te/tunnel-termination-point/local-link-connectivities/local-link-connectivity/underlay/primary-path/path-element/type/label-hop/te-label/direction,/context/notification-context/event-notification/connection-end-point/direction,0.5135240422776821
/networks/network/node/te/te-node-attributes/connectivity-matrices/optimizations/algorithm/optimization-metric/explicit-route-include-objects/route-object-include-object/type/label-hop/te-label/direction,/context/notification-context/event-notification/connection-end-point/direction,0.5135240422776821
