mode,scope,n,precision,recall,f1
name_only,equivalence_only,33,0.8666666666666667,0.9629629629629629,0.912280701754386
name_only,equivalence_plus_subsumption,58,0.9090909090909091,0.9615384615384616,0.9345794392523366
name_only,recall_plus_nontrivial,33,0.8666666666666667,0.9629629629629629,0.912280701754386
definition_based,equivalence_only,33,0.9259259259259259,0.9259259259259259,0.9259259259259259
definition_based,equivalence_plus_subsumption,58,0.9230769230769231,0.9230769230769231,0.9230769230769231
definition_based,recall_plus_nontrivial,33,0.9259259259259259,0.9259259259259259,0.9259259259259259
